"Name","Series","Family","Number","Suffix","Dash","At","Star","File","Nd","Vd"
"S-LAF51","S","LAF","51","",,,,"NHG202501.txt","1.699992","48.056847"
"H-LAF51","H","LAF","51","",,,,"NHG202501.txt","1.699992","48.056847"
"S-LAF52","S","LAF","52","",,,,"NHG202501.txt","1.785895","44.174617"
"H-LAF52","H","LAF","52","",,,,"NHG202501.txt","1.785895","44.174617"
"S-LAF53","S","LAF","53","",,,,"NHG202501.txt","1.743297","49.238486"
"H-LAF53","H","LAF","53","",,,,"NHG202501.txt","1.743297","49.238486"
"S-LAF54","S","LAF","54","",,,,"NHG202501.txt","1.799497","42.320071"
"H-LAF54","H","LAF","54","",,,,"NHG202501.txt","1.799497","42.320071"
"S-LAF55","S","LAF","55","",,,,"NHG202501.txt","1.749505","35.336343"
"H-LAF55","H","LAF","55","",,,,"NHG202501.txt","1.749505","35.336343"
"S-LAF56","S","LAF","56","",,,,"NHG202501.txt","1.799517","42.241245"
"H-LAF56","H","LAF","56","",,,,"NHG202501.txt","1.799517","42.241245"
"S-LAF62","S","LAF","62","",,,,"NHG202501.txt","1.720003","43.658445"
"H-LAF62","H","LAF","62","",,,,"NHG202501.txt","1.720003","43.658445"
"S-LAF72","S","LAF","72","",,,,"NHG202501.txt","1.720001","46.034845"
"H-LAF72","H","LAF","72","",,,,"NHG202501.txt","1.720001","46.034845"
"S-LAF76","S","LAF","76","",,,,"NHG202501.txt","1.762005","40.086686"
"H-LAF76","H","LAF","76","",,,,"NHG202501.txt","1.762005","40.086686"
"S-ZLAF1","S","ZLAF","1","",,,,"NHG202501.txt","1.801654","44.27017"
"H-ZLAF1","H","ZLAF","1","",,,,"NHG202501.txt","1.801654","44.27017"
"S-ZLAF2","S","ZLAF","2","",,,,"NHG202501.txt","1.802784","46.727914"
"H-ZLAF2","H","ZLAF","2","",,,,"NHG202501.txt","1.802784","46.727914"
"S-ZLAF3","S","ZLAF","3","",,,,"NHG202501.txt","1.855442","36.570666"
"H-ZLAF3","H","ZLAF","3","",,,,"NHG202501.txt","1.855442","36.570666"
"S-ZLAF50","S","ZLAF","50","",,,,"NHG202501.txt","1.803999","46.56056"
"H-ZLAF50","H","ZLAF","50","",,,,"NHG202501.txt","1.803999","46.56056"
"S-ZLAF51","S","ZLAF","51","",,,,"NHG202501.txt","1.804501","39.621321"
"H-ZLAF51","H","ZLAF","51","",,,,"NHG202501.txt","1.804501","39.621321"
"S-ZLAF52","S","ZLAF","52","",,,,"NHG202501.txt","1.8061","40.92767"
"H-ZLAF52","H","ZLAF","52","",,,,"NHG202501.txt","1.8061","40.92767"
"S-ZLAF53","S","ZLAF","53","",,,,"NHG202501.txt","1.833996","37.3209"
"H-ZLAF53","H","ZLAF","53","",,,,"NHG202501.txt","1.833996","37.3209"
"S-ZLAF54","S","ZLAF","54","",,,,"NHG202501.txt","1.815997","46.543399"
"H-ZLAF54","H","ZLAF","54","",,,,"NHG202501.txt","1.815997","46.543399"
"H-ZLAF54A","H","ZLAF","54","A",,,,"NHG202501.txt","1.815999","46.551778"
"S-ZLAF54A","S","ZLAF","54","A",,,,"NHG202501.txt","1.815999","46.551778"
"S-ZLAF55F","S","ZLAF","55","F",,,,"NHG202501.txt","1.834796","42.72929"
"H-ZLAF55F","H","ZLAF","55","F",,,,"NHG202501.txt","1.834796","42.72929"
"S-ZLAF56","S","ZLAF","56","",,,,"NHG202501.txt","1.806095","33.25428"
"H-ZLAF56","H","ZLAF","56","",,,,"NHG202501.txt","1.806095","33.25428"
"S-ZLAF56B","S","ZLAF","56","B",,,,"NHG202501.txt","1.806096","33.266041"
"H-ZLAF56B","H","ZLAF","56","B",,,,"NHG202501.txt","1.806096","33.266041"
"S-ZLAF57","S","ZLAF","57","",,,,"NHG202501.txt","1.800006","29.832716"
"H-ZLAF57","H","ZLAF","57","",,,,"NHG202501.txt","1.800006","29.832716"
"S-ZLAF59","S","ZLAF","59","",,,,"NHG202501.txt","1.8515","40.760621"
"H-ZLAF59","H","ZLAF","59","",,,,"NHG202501.txt","1.8515","40.760621"
"S-ZLAF60","S","ZLAF","60","",,,,"NHG202501.txt","1.850266","32.267394"
"H-ZLAF60","H","ZLAF","60","",,,,"NHG202501.txt","1.850266","32.267394"
"S-ZLAF60GT","S","ZLAF","60","GT",,,,"NHG202501.txt","1.850266","32.267394"
"H-ZLAF60GT","H","ZLAF","60","GT",,,,"NHG202501.txt","1.850266","32.267394"
"H-ZLAF60A","H","ZLAF","60","A",,,,"NHG202501.txt","1.850262","32.27262"
"S-ZLAF60A","S","ZLAF","60","A",,,,"NHG202501.txt","1.850262","32.27262"
"S-ZLAF64","S","ZLAF","64","",,,,"NHG202501.txt","1.870704","40.733655"
"H-ZLAF64","H","ZLAF","64","",,,,"NHG202501.txt","1.870704","40.733655"
"S-ZLAF65","S","ZLAF","65","",,,,"NHG202501.txt","1.874085","30.553714"
"H-ZLAF65","H","ZLAF","65","",,,,"NHG202501.txt","1.874085","30.553714"
"S-ZLAF66A","S","ZLAF","66","A",,,,"NHG202501.txt","1.800988","34.975184"
"H-ZLAF66A","H","ZLAF","66","A",,,,"NHG202501.txt","1.800988","34.975184"
"S-ZLAF67","S","ZLAF","67","",,,,"NHG202501.txt","1.881002","40.129704"
"H-ZLAF67","H","ZLAF","67","",,,,"NHG202501.txt","1.881002","40.129704"
"S-ZLAF68A","S","ZLAF","68","A",,,,"NHG202501.txt","1.882993","40.785419"
"H-ZLAF68A","H","ZLAF","68","A",,,,"NHG202501.txt","1.882993","40.785419"
"S-ZLAF68L","S","ZLAF","68","L",,,,"NHG202501.txt","1.883008","39.22153"
"H-ZLAF68L","H","ZLAF","68","L",,,,"NHG202501.txt","1.883008","39.22153"
"S-ZLAF70","S","ZLAF","70","",,,,"NHG202501.txt","1.903664","31.315705"
"H-ZLAF70","H","ZLAF","70","",,,,"NHG202501.txt","1.903664","31.315705"
"S-ZLAF70GT","S","ZLAF","70","GT",,,,"NHG202501.txt","1.903664","31.315705"
"H-ZLAF70GT","H","ZLAF","70","GT",,,,"NHG202501.txt","1.903664","31.315705"
"S-ZLAF70B","S","ZLAF","70","B",,,,"NHG202501.txt","1.903653","31.299045"
"H-ZLAF70B","H","ZLAF","70","B",,,,"NHG202501.txt","1.903653","31.299045"
"S-ZLAF72","S","ZLAF","72","",,,,"NHG202501.txt","1.91082","35.237922"
"H-ZLAF72","H","ZLAF","72","",,,,"NHG202501.txt","1.91082","35.237922"
"S-ZLAF72A","S","ZLAF","72","A",,,,"NHG202501.txt","1.91082","35.252177"
